"FullName","LastWriteTime","Length"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Детальный Дебиторы Ергали (103).json","05.03.2026 16:01:07","64242"
"E:\GPT1C_Processor_analitic\reports\excel\Детальный Дебиторы Ергали (103).xlsx.__clean.xlsx","05.03.2026 16:01:06","19732"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Детальный Дебиторы Алена (105).html","05.03.2026 16:01:06","166044"
"E:\GPT1C_Processor_analitic\reports\json\debt_Детальный Дебиторы Алена (105).json","05.03.2026 16:01:06","14613"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Детальный Дебиторы Алена (105).json","05.03.2026 16:01:06","65348"
"E:\GPT1C_Processor_analitic\reports\excel\Детальный Дебиторы Алена (105).xlsx.__clean.xlsx","05.03.2026 16:01:05","19725"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (272)_debt.html","05.03.2026 16:01:05","41190"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (272).xlsx.__clean.xlsx","05.03.2026 16:01:04","9856"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами_Магира (272)_debt.html","05.03.2026 16:01:04","56896"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Магира (272).xlsx.__clean.xlsx","05.03.2026 16:01:03","12013"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (272)_debt.html","05.03.2026 16:01:03","36964"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (272).xlsx.__clean.xlsx","05.03.2026 16:01:02","9053"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами_Алена (271)_debt.html","05.03.2026 16:01:02","31127"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Алена (271).xlsx.__clean.xlsx","05.03.2026 16:01:01","8209"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами (343)_debt.html","05.03.2026 16:01:01","137495"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами (343).xlsx.__clean.xlsx","05.03.2026 16:01:00","24030"
"E:\GPT1C_Processor_analitic\reports\json\gross_валовая_прибыль_354xlsx__clean_5_марта_2026_г.json","05.03.2026 16:01:00","5661"
"E:\GPT1C_Processor_analitic\reports\html\Валовая прибыль (354).xlsx.__clean_gross_pct.html","05.03.2026 16:00:59","6597"
"E:\GPT1C_Processor_analitic\reports\html\Валовая прибыль (354)_gross_sum.html","05.03.2026 16:00:58","10703"
"E:\GPT1C_Processor_analitic\reports\excel\Валовая прибыль (354).xlsx.__clean.xlsx","05.03.2026 16:00:58","7450"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Алена (271).xlsx.__clean.xlsx","05.03.2026 16:00:57","8209"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160102_Ведомость_по_взаиморасчетам_с_контрагентами_Алена (271).xlsx","05.03.2026 16:00:57","7920"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Валовая прибыль (354).xlsx.__clean.xlsx","05.03.2026 16:00:57","7450"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160100_Валовая прибыль (354).xlsx","05.03.2026 16:00:57","7167"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Продажи (370).xlsx.__clean.xlsx","05.03.2026 16:00:57","11051"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160115_Продажи (370).xlsx","05.03.2026 16:00:57","10761"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Остатки всем (261).xlsx.__clean.xlsx","05.03.2026 16:00:57","9334"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160113_Остатки всем (261).xlsx","05.03.2026 16:00:57","9035"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Затраты (52).xlsx.__clean.xlsx","05.03.2026 16:00:57","5322"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160112_Затраты (52).xlsx","05.03.2026 16:00:57","5045"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Детальный_по_взаиморасчетам_с_контрагентами (97).xlsx.__clean.xlsx","05.03.2026 16:00:57","86813"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160111_Детальный_по_взаиморасчетам_с_контрагентами (97).xlsx","05.03.2026 16:00:57","86405"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Детальный Дебиторы Оксана (109).xlsx.__clean.xlsx","05.03.2026 16:00:57","24186"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160109_Детальный Дебиторы Оксана (109).xlsx","05.03.2026 16:00:57","23874"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Детальный Дебиторы Магира (113).xlsx.__clean.xlsx","05.03.2026 16:00:57","30590"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160108_Детальный Дебиторы Магира (113).xlsx","05.03.2026 16:00:57","30273"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Детальный Дебиторы Ергали (103).xlsx.__clean.xlsx","05.03.2026 16:00:57","19732"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160107_Детальный Дебиторы Ергали (103).xlsx","05.03.2026 16:00:57","19428"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Детальный Дебиторы Алена (105).xlsx.__clean.xlsx","05.03.2026 16:00:57","19725"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160106_Детальный Дебиторы Алена (105).xlsx","05.03.2026 16:00:57","19430"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость по денежным средствам (356).xlsx.__clean.xlsx","05.03.2026 16:00:57","8904"
"E:\GPT1C_Processor_analitic\reports\rejected\cash\20260305_160100_Ведомость по денежным средствам (356).xlsx","05.03.2026 16:00:57","8612"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами (343).xlsx.__clean.xlsx","05.03.2026 16:00:57","24030"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160101_Ведомость_по_взаиморасчетам_с_контрагентами (343).xlsx","05.03.2026 16:00:57","23666"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (272).xlsx.__clean.xlsx","05.03.2026 16:00:57","9856"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160105_Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (272).xlsx","05.03.2026 16:00:56","9561"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Магира (272).xlsx.__clean.xlsx","05.03.2026 16:00:56","12013"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160104_Ведомость_по_взаиморасчетам_с_контрагентами_Магира (272).xlsx","05.03.2026 16:00:56","11711"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (272).xlsx.__clean.xlsx","05.03.2026 16:00:56","9053"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305160103_Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (272).xlsx","05.03.2026 16:00:56","8759"
"E:\GPT1C_Processor_analitic\reports\reports.zip","05.03.2026 16:00:26","10378708"
"E:\GPT1C_Processor_analitic\reports\analytics\dso_Оксана_20260305.html","05.03.2026 15:53:54","4235"
"E:\GPT1C_Processor_analitic\reports\analytics\rfm_Ергали_20260305.html","05.03.2026 15:53:54","3065"
"E:\GPT1C_Processor_analitic\reports\analytics\rfm_Магира_20260305.html","05.03.2026 15:53:54","3065"
"E:\GPT1C_Processor_analitic\reports\analytics\rfm_Оксана_20260305.html","05.03.2026 15:53:54","3065"
"E:\GPT1C_Processor_analitic\reports\analytics\rfm_Алена_20260305.html","05.03.2026 15:53:54","3058"
"E:\GPT1C_Processor_analitic\reports\analytics\turnover_20260305.html","05.03.2026 15:53:53","7674"
"E:\GPT1C_Processor_analitic\reports\analytics\net_profit_mtd\net_profit_mtd_20260301.html","05.03.2026 15:53:53","2654"
"E:\GPT1C_Processor_analitic\reports\analytics\net_profit_mtd_20260301.json","05.03.2026 15:53:53","412"
"E:\GPT1C_Processor_analitic\reports\analytics\net_profit_day\net_profit_day_20260303.html","05.03.2026 15:53:53","2629"
"E:\GPT1C_Processor_analitic\reports\analytics\net_profit_day_20260303.json","05.03.2026 15:53:53","384"
"E:\GPT1C_Processor_analitic\reports\analytics\sales_profitability.html","05.03.2026 15:53:53","592637"
"E:\GPT1C_Processor_analitic\reports\analytics\sales_profitability.json","05.03.2026 15:53:53","460142"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_369xlsx__clean_01032026_04032026.json","05.03.2026 14:51:15","55009"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи (369).xlsx.__clean.xlsx","05.03.2026 14:51:14","19299"
"E:\GPT1C_Processor_analitic\reports\html\expenses_Затраты_с_нарастающим_184_xlsx___clean_20260301.html","05.03.2026 14:51:13","8070"
"E:\GPT1C_Processor_analitic\reports\json\expenses_Затраты_с_нарастающим_184_xlsx___clean_20260301.json","05.03.2026 14:51:13","2757"
"E:\GPT1C_Processor_analitic\reports\excel\Затраты с нарастающим (184).xlsx.__clean.xlsx","05.03.2026 14:51:11","5630"
"E:\GPT1C_Processor_analitic\reports\html\inventory_cost_ведомость_по_партиям_товаров_на_складах_187xlsx__c.html","05.03.2026 14:51:11","38788"
"E:\GPT1C_Processor_analitic\reports\json\inventory_cost_ведомость_по_партиям_товаров_на_складах_187xlsx__c.json","05.03.2026 14:51:11","19744"
"E:\GPT1C_Processor_analitic\reports\html\inventory_ведомость_по_партиям_товаров_на_складах_187__01_03_2026_-_04_03_2026.html","05.03.2026 14:51:09","2505"
"E:\GPT1C_Processor_analitic\reports\json\inventory_ведомость_по_партиям_товаров_на_складах_187__01_03_2026_-_04_03_2026.json","05.03.2026 14:51:09","17154"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_партиям_товаров_на_складах (187).xlsx.__clean.xlsx","05.03.2026 14:51:09","12590"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).html","05.03.2026 14:51:09","233977"
"E:\GPT1C_Processor_analitic\reports\json\debt_Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).json","05.03.2026 14:51:09","24356"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).json","05.03.2026 14:51:09","90397"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).xlsx.__clean.xlsx","05.03.2026 14:51:08","24157"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).html","05.03.2026 14:51:07","294915"
"E:\GPT1C_Processor_analitic\reports\json\debt_Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).json","05.03.2026 14:51:07","31473"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).json","05.03.2026 14:51:07","119732"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).xlsx.__clean.xlsx","05.03.2026 14:51:07","30365"
"E:\GPT1C_Processor_analitic\reports\html\Ведомость_по_взаиморасчетам_с_контрагентами_за_26_05 (179)_debt.html","05.03.2026 14:51:06","139605"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_за_26_05 (179).xlsx.__clean.xlsx","05.03.2026 14:51:06","24066"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).html","05.03.2026 14:51:05","169607"
"E:\GPT1C_Processor_analitic\reports\json\debt_Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).json","05.03.2026 14:51:05","16662"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).json","05.03.2026 14:51:05","64470"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).xlsx.__clean.xlsx","05.03.2026 14:51:05","19822"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).html","05.03.2026 14:51:04","165374"
"E:\GPT1C_Processor_analitic\reports\json\debt_Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).json","05.03.2026 14:51:04","14412"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).json","05.03.2026 14:51:04","65325"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).xlsx.__clean.xlsx","05.03.2026 14:51:04","19658"
"E:\GPT1C_Processor_analitic\reports\html\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами (342).html","05.03.2026 14:51:03","991849"
"E:\GPT1C_Processor_analitic\reports\json\debt_Ведомость_по_взаиморасчетам_с_контрагентами (342).json","05.03.2026 14:51:03","105906"
"E:\GPT1C_Processor_analitic\reports\json\debt_ext_Ведомость_по_взаиморасчетам_с_контрагентами (342).json","05.03.2026 14:51:03","405239"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость_по_взаиморасчетам_с_контрагентами (342).xlsx.__clean.xlsx","05.03.2026 14:51:02","86561"
"E:\GPT1C_Processor_analitic\reports\html\inventory_ведомость_по_товарам_на_складах_185__4_марта_2026_г.html","05.03.2026 14:51:01","2503"
"E:\GPT1C_Processor_analitic\reports\json\inventory_ведомость_по_товарам_на_складах_185__4_марта_2026_г.json","05.03.2026 14:51:01","11106"
"E:\GPT1C_Processor_analitic\reports\excel\Ведомость по товарам на складах (185).xlsx.__clean.xlsx","05.03.2026 14:51:01","9568"
"E:\GPT1C_Processor_analitic\reports\json\gross_валовая_прибыль_353xlsx__clean_01032026_04032026.json","05.03.2026 14:51:00","8842"
"E:\GPT1C_Processor_analitic\reports\html\Валовая прибыль (353).xlsx.__clean_gross_pct.html","05.03.2026 14:50:59","6784"
"E:\GPT1C_Processor_analitic\reports\html\Валовая прибыль (353)_gross_sum.html","05.03.2026 14:50:58","11148"
"E:\GPT1C_Processor_analitic\reports\excel\Валовая прибыль (353).xlsx.__clean.xlsx","05.03.2026 14:50:58","8535"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Затраты с нарастающим (184).xlsx.__clean.xlsx","05.03.2026 14:50:57","5630"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145113_Затраты с нарастающим (184).xlsx","05.03.2026 14:50:57","5350"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Продажи (369).xlsx.__clean.xlsx","05.03.2026 14:50:57","19299"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145115_Продажи (369).xlsx","05.03.2026 14:50:57","18975"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Валовая прибыль (353).xlsx.__clean.xlsx","05.03.2026 14:50:57","8535"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145100_Валовая прибыль (353).xlsx","05.03.2026 14:50:57","8248"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).xlsx.__clean.xlsx","05.03.2026 14:50:57","19658"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145104_Ведомость_по_взаиморасчетам_с_контрагентами_Алена (270).xlsx","05.03.2026 14:50:57","19361"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).xlsx.__clean.xlsx","05.03.2026 14:50:57","19822"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145105_Ведомость_по_взаиморасчетам_с_контрагентами_Ергали (271).xlsx","05.03.2026 14:50:57","19518"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_за_26_05 (179).xlsx.__clean.xlsx","05.03.2026 14:50:57","24066"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145106_Ведомость_по_взаиморасчетам_с_контрагентами_за_26_05 (179).xlsx","05.03.2026 14:50:57","23702"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).xlsx.__clean.xlsx","05.03.2026 14:50:57","30365"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145108_Ведомость_по_взаиморасчетам_с_контрагентами_Магира (271).xlsx","05.03.2026 14:50:57","30046"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).xlsx.__clean.xlsx","05.03.2026 14:50:57","24157"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145109_Ведомость_по_взаиморасчетам_с_контрагентами_Оксана (271).xlsx","05.03.2026 14:50:57","23840"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_взаиморасчетам_с_контрагентами (342).xlsx.__clean.xlsx","05.03.2026 14:50:56","86561"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145103_Ведомость_по_взаиморасчетам_с_контрагентами (342).xlsx","05.03.2026 14:50:56","86155"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость по денежным средствам (355).xlsx.__clean.xlsx","05.03.2026 14:50:56","10678"
"E:\GPT1C_Processor_analitic\reports\rejected\cash\20260305_145100_Ведомость по денежным средствам (355).xlsx","05.03.2026 14:50:56","10378"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость_по_партиям_товаров_на_складах (187).xlsx.__clean.xlsx","05.03.2026 14:50:56","12590"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145111_Ведомость_по_партиям_товаров_на_складах (187).xlsx","05.03.2026 14:50:56","12284"
"E:\GPT1C_Processor_analitic\reports\excel\clean\Ведомость по товарам на складах (185).xlsx.__clean.xlsx","05.03.2026 14:50:56","9568"
"E:\GPT1C_Processor_analitic\reports\excel\processed\20260305145101_Ведомость по товарам на складах (185).xlsx","05.03.2026 14:50:56","9271"
"E:\GPT1C_Processor_analitic\reports\analytics\dso_Магира_20260305.html","05.03.2026 11:40:19","6324"
"E:\GPT1C_Processor_analitic\reports\analytics\dso_Ергали_20260305.html","05.03.2026 11:40:19","6035"
"E:\GPT1C_Processor_analitic\reports\analytics\dso_Алена_20260305.html","05.03.2026 11:40:19","6139"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_по_товару_оксана_2xlsx__clean_февраль_2026.json","05.03.2026 9:51:28","11509"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи по товару Оксана (2).xlsx.__clean.xlsx","05.03.2026 9:51:27","9500"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_по_товару_магира_2xlsx__clean_февраль_2026.json","05.03.2026 9:51:27","9344"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи по товару Магира (2).xlsx.__clean.xlsx","05.03.2026 9:51:25","8799"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_по_товару_ергали_2xlsx__clean_февраль_2026.json","05.03.2026 9:51:25","10625"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи по товару Ергали (2).xlsx.__clean.xlsx","05.03.2026 9:51:24","9217"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_по_товару_алена_2xlsx__clean_февраль_2026_.json","05.03.2026 9:51:23","10670"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи по товару Алена (2).xlsx.__clean.xlsx","05.03.2026 9:51:22","8559"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_оксана_25xlsx__clean_февраль_2026_г.json","05.03.2026 9:51:21","64493"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Оксана (25).xlsx.__clean.xlsx","05.03.2026 9:51:20","21350"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_оксана_249xlsx__clean_5_марта_2026_г.json","05.03.2026 9:51:19","6319"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Оксана (249).xlsx.__clean.xlsx","05.03.2026 9:51:18","7655"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_оксана_248xlsx__clean_4_марта_2026_г.json","05.03.2026 9:51:17","3681"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Оксана (248).xlsx.__clean.xlsx","05.03.2026 9:51:16","6944"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_оксана_247xlsx__clean_3_марта_2026_г.json","05.03.2026 9:51:15","2622"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Оксана (247).xlsx.__clean.xlsx","05.03.2026 9:51:14","6644"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_магира_28xlsx__clean_февраль_2026_г.json","05.03.2026 9:51:14","78029"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Магира (28).xlsx.__clean.xlsx","05.03.2026 9:51:12","23648"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_магира_259xlsx__clean_5_марта_2026_г.json","05.03.2026 9:51:12","2444"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Магира (259).xlsx.__clean.xlsx","05.03.2026 9:51:11","6403"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_магира_258xlsx__clean_4_марта_2026_г.json","05.03.2026 9:51:10","5625"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Магира (258).xlsx.__clean.xlsx","05.03.2026 9:51:09","7308"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_магира_257xlsx__clean_3_марта_2026_г.json","05.03.2026 9:51:08","4252"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Магира (257).xlsx.__clean.xlsx","05.03.2026 9:51:07","6971"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_ергали_26xlsx__clean_февраль_2026_г.json","05.03.2026 9:51:06","54491"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Ергали (26).xlsx.__clean.xlsx","05.03.2026 9:51:05","18211"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_ергали_223xlsx__clean_5_марта_2026_г.json","05.03.2026 9:51:05","3086"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Ергали (223).xlsx.__clean.xlsx","05.03.2026 9:51:04","6684"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_ергали_222xlsx__clean_4_марта_2026_г.json","05.03.2026 9:51:03","3049"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Ергали (222).xlsx.__clean.xlsx","05.03.2026 9:51:02","6727"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_ергали_219xlsx__clean_3_марта_2026_г.json","05.03.2026 9:51:01","3255"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Ергали (219).xlsx.__clean.xlsx","05.03.2026 9:51:00","6743"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_алена_26xlsx__clean_февраль_2026_г.json","05.03.2026 9:50:59","49250"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Алена (26).xlsx.__clean.xlsx","05.03.2026 9:50:58","16995"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_алена_241xlsx__clean_5_марта_2026_г.json","05.03.2026 9:50:57","846"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Алена (241).xlsx.__clean.xlsx","05.03.2026 9:50:56","5868"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_алена_240xlsx__clean_4_марта_2026_г.json","05.03.2026 9:50:55","1798"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Алена (240).xlsx.__clean.xlsx","05.03.2026 9:50:54","6321"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_алена_239xlsx__clean_3_марта_2026_г.json","05.03.2026 9:50:54","3023"
"E:\GPT1C_Processor_analitic\reports\excel\Продажи Алена (239).xlsx.__clean.xlsx","05.03.2026 9:50:52","6644"
"E:\GPT1C_Processor_analitic\reports\json\sales_продажи_368xlsx__clean_01032026_03032026.json","05.03.2026 9:50:52","39466"
